sinif,sira,zorluk,oncelik,pdf_anahtar,dogru_cevap,sorunlar,soru_id
5. Sınıf,1,Kolay,ok,,"A","",6a2aedcfa820514ecceae506
5. Sınıf,2,Kolay,dusuk,,"15","metin-gurultu",6a2aedcfa820514ecceae50c
5. Sınıf,3,Kolay,ok,,"25","",6a2aedcfa820514ecceae512
5. Sınıf,4,Kolay,ok,,"A","",6a2aedcfa820514ecceae518
5. Sınıf,5,Kolay,ok,,"A","",6a2aedcfa820514ecceae51e
5. Sınıf,6,Kolay,ok,,"4","",6a2aedcfa820514ecceae524
5. Sınıf,7,Kolay,dusuk,,"246","metin-gurultu",6a2aedcfa820514ecceae52a
5. Sınıf,8,Orta,ok,,"11","",6a2aedcfa820514ecceae530
5. Sınıf,9,Orta,ok,,"1","",6a2aedcfa820514ecceae536
5. Sınıf,10,Orta,ok,,"10 ) 15","",6a2aedcfa820514ecceae53c
5. Sınıf,11,Orta,ok,,"A","",6a2aedcfa820514ecceae542
5. Sınıf,12,Orta,ok,,"A","",6a2aedcfa820514ecceae548
5. Sınıf,13,Orta,ok,,"A","",6a2aedcfa820514ecceae54e
5. Sınıf,14,Orta,dusuk,,"A","metin-gurultu",6a2aedcfa820514ecceae554
5. Sınıf,15,Zor,ok,,"2 × (Adım Sayısı) + 1","",6a2aedcfa820514ecceae55a
5. Sınıf,16,Zor,ok,,"2 × (Adım Sayısı) + 1","",6a2aedcfa820514ecceae560
5. Sınıf,17,Zor,ok,,"Şekil III","",6a2aedcfa820514ecceae566
5. Sınıf,18,Zor,ok,,"2","",6a2aedcfa820514ecceae56c
5. Sınıf,19,Zor,ok,,"5","",6a2aedd0a820514ecceae572
5. Sınıf,20,Zor,ok,,"Her adımda bir önceki adıma göre kibrit çöpü sayısı beşer beşer artmıştır.","",6a2aedd0a820514ecceae578
5. Sınıf,21,Zor,ok,,"10","",6a2aedd0a820514ecceae57f
6. Sınıf,1,Kolay,ok,,"dn-1 B)4n-2","",6a2aeddca820514ecceae587
6. Sınıf,2,Kolay,ok,,"6-8-10","",6a2aeddca820514ecceae58e
6. Sınıf,3,Kolay,ok,,"A","",6a2aeddda820514ecceae594
6. Sınıf,4,Kolay,ok,,"45","",6a2aeddda820514ecceae59a
6. Sınıf,5,Kolay,ok,,"9","",6a2aeddda820514ecceae5a0
6. Sınıf,6,Kolay,ok,,"A","",6a2aeddda820514ecceae5a6
6. Sınıf,7,Kolay,ok,,"A","",6a2aeddda820514ecceae5ac
6. Sınıf,8,Orta,ok,,"n-3","",6a2aeddda820514ecceae5b2
6. Sınıf,9,Orta,ok,,"n-3","",6a2aeddda820514ecceae5b8
6. Sınıf,10,Orta,ok,,"900","",6a2aeddda820514ecceae5be
6. Sınıf,11,Orta,ok,,"Düzgün dokuzgen","",6a2aeddda820514ecceae5c4
6. Sınıf,12,Orta,ok,,"1080","",6a2aeddda820514ecceae5ca
6. Sınıf,13,Orta,ok,,"10n +90","",6a2aeddda820514ecceae5d0
6. Sınıf,14,Orta,ok,,"A","",6a2aeddda820514ecceae5d6
6. Sınıf,15,Zor,ok,,"A","",6a2aeddda820514ecceae5dc
6. Sınıf,16,Zor,ok,,"Mor B) San göre en büyük forma numarası kaçtır?","",6a2aeddda820514ecceae5e2
6. Sınıf,17,Zor,ok,,"A","",6a2aeddda820514ecceae5e8
6. Sınıf,18,Zor,ok,,"10n +20","",6a2aeddda820514ecceae5ee
6. Sınıf,19,Zor,ok,,"A","",6a2aeddda820514ecceae5f4
6. Sınıf,20,Zor,ok,,"462","",6a2aeddda820514ecceae5fa
6. Sınıf,21,Zor,ok,,"A","",6a2aeddda820514ecceae600
7. Sınıf,1,Kolay,dusuk,,"4,10, 16,22 ,28","metin-gurultu",6a2aede6a820514ecceae608
